Time_s,Position_m,Velocity_ms,Control_Force_N
0.000000,0.000000,0.000000,15.005000
0.001000,0.000008,0.014997,15.029886
0.002000,0.000030,0.029977,15.054525
0.003000,0.000067,0.044940,15.078939
0.004000,0.000120,0.059886,15.103128
0.005000,0.000187,0.074815,15.127091
0.006000,0.000270,0.089725,15.150828
0.007000,0.000367,0.104618,15.174340
0.008000,0.000479,0.119491,15.197626
0.009000,0.000606,0.134346,15.220685
0.010000,0.000747,0.149182,15.243519
0.011000,0.000904,0.163998,15.266126
0.012000,0.001076,0.178794,15.288508
0.013000,0.001262,0.193571,15.310663
0.014000,0.001463,0.208326,15.332591
0.015000,0.001678,0.223061,15.354293
0.016000,0.001909,0.237775,15.375769
0.017000,0.002154,0.252467,15.397018
0.018000,0.002414,0.267138,15.418041
0.019000,0.002688,0.281786,15.438837
0.020000,0.002978,0.296413,15.459406
0.021000,0.003281,0.311016,15.479749
0.022000,0.003600,0.325597,15.499865
0.023000,0.003933,0.340154,15.519754
0.024000,0.004280,0.354687,15.539417
0.025000,0.004642,0.369197,15.558852
0.026000,0.005018,0.383682,15.578061
0.027000,0.005409,0.398143,15.597044
0.028000,0.005815,0.412579,15.615800
0.029000,0.006235,0.426990,15.634329
0.030000,0.006669,0.441376,15.652631
0.031000,0.007118,0.455736,15.670707
0.032000,0.007581,0.470070,15.688556
0.033000,0.008058,0.484377,15.706178
0.034000,0.008549,0.498658,15.723574
0.035000,0.009055,0.512912,15.740743
0.036000,0.009575,0.527139,15.757686
0.037000,0.010110,0.541338,15.774403
0.038000,0.010658,0.555509,15.790893
0.039000,0.011221,0.569652,15.807157
0.040000,0.011798,0.583767,15.823195
0.041000,0.012388,0.597854,15.839007
0.042000,0.012993,0.611911,15.854592
0.043000,0.013612,0.625939,15.869952
0.044000,0.014245,0.639937,15.885086
0.045000,0.014892,0.653906,15.899994
0.046000,0.015553,0.667845,15.914676
0.047000,0.016228,0.681753,15.929133
0.048000,0.016917,0.695630,15.943364
0.049000,0.017620,0.709477,15.957370
0.050000,0.018336,0.723292,15.971151
0.051000,0.019066,0.737076,15.984707
0.052000,0.019811,0.750829,15.998037
0.053000,0.020568,0.764549,16.011143
0.054000,0.021340,0.778236,16.024024
0.055000,0.022125,0.791892,16.036681
0.056000,0.022924,0.805514,16.049113
0.057000,0.023736,0.819103,16.061321
0.058000,0.024562,0.832659,16.073305
0.059000,0.025402,0.846181,16.085065
0.060000,0.026255,0.859669,16.096602
0.061000,0.027121,0.873123,16.107914
0.062000,0.028001,0.886542,16.119004
0.063000,0.028895,0.899927,16.129870
0.064000,0.029801,0.913277,16.140513
0.065000,0.030721,0.926592,16.150933
0.066000,0.031655,0.939871,16.161131
0.067000,0.032601,0.953114,16.171106
0.068000,0.033561,0.966321,16.180859
0.069000,0.034534,0.979492,16.190390
0.070000,0.035520,0.992627,16.199699
0.071000,0.036520,1.005724,16.208787
0.072000,0.037532,1.018785,16.217653
0.073000,0.038557,1.031808,16.226299
0.074000,0.039596,1.044794,16.234723
0.075000,0.040647,1.057742,16.242927
0.076000,0.041712,1.070652,16.250910
0.077000,0.042789,1.083524,16.258673
0.078000,0.043879,1.096357,16.266217
0.079000,0.044982,1.109152,16.273540
0.080000,0.046097,1.121907,16.280645
0.081000,0.047226,1.134623,16.287530
0.082000,0.048367,1.147300,16.294197
0.083000,0.049521,1.159937,16.300644
0.084000,0.050687,1.172534,16.306874
0.085000,0.051866,1.185091,16.312886
0.086000,0.053058,1.197608,16.318680
0.087000,0.054262,1.210084,16.324257
0.088000,0.055478,1.222519,16.329616
0.089000,0.056707,1.234913,16.334759
0.090000,0.057948,1.247266,16.339685
0.091000,0.059202,1.259577,16.344396
0.092000,0.060468,1.271846,16.348890
0.093000,0.061746,1.284073,16.353169
0.094000,0.063036,1.296258,16.357232
0.095000,0.064339,1.308401,16.361081
0.096000,0.065653,1.320501,16.364715
0.097000,0.066980,1.332558,16.368135
0.098000,0.068319,1.344572,16.371342
0.099000,0.069669,1.356543,16.374334
0.100000,0.071032,1.368470,16.377114
0.101000,0.072407,1.380353,16.379681
0.102000,0.073793,1.392193,16.382035
0.103000,0.075191,1.403988,16.384178
0.104000,0.076601,1.415739,16.386108
0.105000,0.078023,1.427445,16.387828
0.106000,0.079457,1.439107,16.389336
0.107000,0.080902,1.450724,16.390634
